,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Feature
42,"[3405.50, 3560.50)",697,0.05,690,7,0.010043041606886656,1.1457781296700587,0.03991405243571209,0.004733086424395445,AFF_B_09_01
43,"[3560.50, 3950.50)",1401,0.10050215208034434,1390,11,0.007851534618129907,1.3941604344604333,0.10786943417467587,0.012487874561531272,AFF_B_09_01
44,"[3950.50, inf)",2741,0.1966284074605452,2733,8,0.002918642831083546,2.3887103253822985,0.4389209514393648,0.04468503679728754,AFF_B_09_01
45,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,AFF_B_09_01
46,"(-1.0, inf)",465,0.03335724533715925,457,8,0.017204301075268817,0.6002385303484354,0.009164330277249924,0.0011286484328679736,TRD_A_20
47,-2.0,7457,0.53493543758967,7079,378,0.050690626257207994,-0.515009580711332,0.18180308886518343,0.022477521640913295,TRD_A_20
48,-3.0,5977,0.4287661406025825,5932,45,0.0075288606324242936,1.4364508946215695,0.48078918077591387,0.05541213748886999,TRD_A_20
49,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,TRD_A_20
50,"(-1.0, 2.50)",1118,0.08020086083213773,1026,92,0.08228980322003578,-1.0333688701842587,0.14209618638440774,0.017011647109262625,SP_I_62_01
51,"[2.50, 5.50)",937,0.06721664275466284,892,45,0.048025613660619,-0.4581996760562439,0.017584923999931276,0.0021790864559150264,SP_I_62_01
52,"[5.50, 12.50)",1716,0.1230989956958393,1657,59,0.034382284382284384,-0.10977674534509019,0.0015623407933897022,0.00019519459746395124,SP_I_62_01
53,"[12.50, inf)",10128,0.7265423242467719,9893,235,0.02320300157977883,0.29499388231312995,0.05518833387511509,0.0068736367021840425,SP_I_62_01
54,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,SP_I_62_01
55,"(-1.0, 1.50)",1952,0.1400286944045911,1812,140,0.07172131147540983,-0.8844592548723131,0.16866035295429424,0.02042116957578985,TRD_A_08
56,"[1.50, 2.50)",2151,0.1543041606886657,2056,95,0.04416550441655044,-0.3703625838914184,0.025267172612907098,0.003140468130276774,TRD_A_08
57,"[2.50, 3.50)",2205,0.15817790530846484,2146,59,0.026757369614512472,0.1488201604189907,0.003268999564746096,0.0004082482794813035,TRD_A_08
58,"[3.50, 4.50)",1955,0.1402439024390244,1931,24,0.012276214833759591,0.9427361332146349,0.08226059808182005,0.00991795246796565,TRD_A_08
59,"[4.50, 5.50)",1577,0.11312769010043042,1565,12,0.007609384908053266,1.42573113432032,0.125473558719498,0.014477663947171706,TRD_A_08
60,"[5.50, 6.50)",1142,0.08192252510760402,1134,8,0.0070052539404553416,1.5090616237419283,0.09866630067354333,0.011281919190496453,TRD_A_08
61,"[6.50, 8.50)",1282,0.09196556671449067,1275,7,0.00546021840873635,1.7597879896712794,0.13751022792518744,0.015265920707112217,TRD_A_08
62,"[8.50, inf)",838,0.060114777618364416,835,3,0.003579952267303103,2.1838161173168125,0.11978250601585068,0.012564724518095368,TRD_A_08
63,-2.0,797,0.057173601147776185,714,83,0.10414052697616061,-1.2929609643229472,0.1806547723824323,0.021129629647055122,TRD_A_08
64,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,TRD_A_08
65,"(-1.0, 16.50)",2338,0.16771879483500718,2195,143,0.0611633875106929,-0.7139106236165689,0.12086669142373656,0.014795452446716262,VM01_SP_VM2_15
66,"[16.50, 40.50)",2462,0.17661406025824963,2382,80,0.03249390739236393,-0.05133420362456942,0.00047678982484813926,5.959218502665266e-05,VM01_SP_VM2_15
67,"[40.50, 59.50)",1591,0.11413199426111909,1558,33,0.020741671904462602,0.4096473460982799,0.01587973157737204,0.001971202734721296,VM01_SP_VM2_15
68,"[59.50, 92.50)",1840,0.13199426111908177,1818,22,0.011956521739130435,0.9694465025131747,0.08098064398801721,0.009743923955137864,VM01_SP_VM2_15
69,"[92.50, inf)",3962,0.2842180774748924,3949,13,0.003281171125694094,2.2712649849591795,0.5954376064443179,0.06167793339031943,VM01_SP_VM2_15
70,-2.0,1706,0.12238163558106169,1566,140,0.08206330597889801,-1.0303658649244896,0.2152467963060744,0.025775448808340234,VM01_SP_VM2_15
71,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,VM01_SP_VM2_15
72,['1A' 'T' 'MB' 'M' 'UA' '5A' 'UB' '2A' '2B' '3A' 'BB'],2153,0.15444763271162124,2138,15,0.006967022758941012,1.5145725716168466,0.18699227430896703,0.021368384344194136,GEN11_SP_N_92
73,['GB' 'IB'],1829,0.1312051649928264,1813,16,0.008747949699289229,1.2851461696491366,0.1247669446990141,0.014604086755846409,GEN11_SP_N_92
74,['3B' '1B' 'FB' '4B' '5B' '6B'],1510,0.10832137733142037,1493,17,0.011258278145695364,1.0303261346170407,0.07323121086562212,0.008769344879426894,GEN11_SP_N_92
75,['JB'],824,0.059110473457675755,810,14,0.01699029126213592,0.6129735991852927,0.016842937962654066,0.0020730132982120656,GEN11_SP_N_92
76,['SB' 'PB'],1434,0.10286944045911048,1406,28,0.019525801952580194,0.47129624332947273,0.01843407629053247,0.0022831676639051227,GEN11_SP_N_92
77,['B' 'IA'],838,0.060114777618364416,817,21,0.025059665871121718,0.2161133382706466,0.002540261402524037,0.0003169161832529276,GEN11_SP_N_92
78,['F' 'G'],1850,0.1327116212338594,1763,87,0.047027027027027025,-0.43613925512264684,0.03111877992751781,0.003859307885273642,GEN11_SP_N_92
79,['P'],1063,0.07625538020086083,1006,57,0.053621825023518345,-0.5743172360407991,0.03318503051235552,0.0040920435447262034,GEN11_SP_N_92
80,['PA' 'S' 'I'],757,0.05430416068866571,710,47,0.062087186261558784,-0.729885950540631,0.041232111075244424,0.005042572078657014,GEN11_SP_N_92
81,['SA' 'J' 'AA'],970,0.06958393113342898,903,67,0.06907216494845361,-0.8439733848399142,0.07478288668133082,0.009079946283137637,GEN11_SP_N_92
82,['JA' '6A' 'GA' 'A' 'U' '4A' 'FA'],712,0.05107604017216643,650,62,0.08707865168539326,-1.0951653410213424,0.10484613289654011,0.012487731287505442,GEN11_SP_N_92
83,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,GEN11_SP_N_92
84,"(-1.0, 1.50)",5416,0.38852223816355813,5125,291,0.053729689807976364,-0.5764407820308168,0.1705096281447639,0.021023428867913113,SP_EDI_24
85,"[1.50, 4.50)",6634,0.475896700143472,6504,130,0.019596020500452217,0.4676348819061307,0.08409603250481316,0.01041725633017479,SP_EDI_24
86,"[4.50, inf)",1849,0.13263988522238163,1839,10,0.005408328826392645,1.7693888127443422,0.19981639167887333,0.022156446365228084,SP_EDI_24
87,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,SP_EDI_24
88,"(-1.0, 20064.00)",1145,0.0821377331420373,1127,18,0.01572052401746725,0.6919394372776777,0.02882794283876621,0.0035332841072511865,VM07_SP_VM1_11
89,"[20064.00, 205328.00)",3680,0.26398852223816355,3648,32,0.008695652173913044,1.2911951295285622,0.2528111700840087,0.029574265214943878,VM07_SP_VM1_11
90,"[205328.00, inf)",1617,0.11599713055954089,1614,3,0.0018552875695732839,2.842855241295851,0.3198648470942206,0.03034586674245126,VM07_SP_VM1_11
91,-2.0,7457,0.53493543758967,7079,378,0.050690626257207994,-0.515009580711332,0.18180308886518343,0.022477521640913295,VM07_SP_VM1_11
92,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,VM07_SP_VM1_11
93,"(-1.0, 0.50)",8388,0.6017216642754663,7995,393,0.046852646638054364,-0.4322413054671399,0.13831949833838228,0.01715658540494179,ND_ECC_08
94,"[0.50, 74.50)",4809,0.34497847919655666,4773,36,0.007485963817841547,1.4422080596838533,0.3890981102854561,0.04481689040269142,ND_ECC_08
95,"[74.50, inf)",702,0.05035868005738881,700,2,0.002849002849002849,2.4129298356175255,0.11383463582619635,0.011547189639654301,ND_ECC_08
96,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,ND_ECC_08
97,"(-1.0, 49.50)",5043,0.36176470588235293,4962,81,0.016061867935752528,0.670111690713374,0.120201718060472,0.014750250991607781,CLU_NPR_L1M
98,"[49.50, 83.50)",2190,0.15710186513629842,2140,50,0.0228310502283105,0.31153478372181764,0.013210205442325125,0.0016446303013612131,CLU_NPR_L1M
99,"[83.50, inf)",1425,0.10222381635581061,1328,97,0.06807017543859649,-0.8282849673329369,0.1049877459568579,0.012760738892206261,CLU_NPR_L1M
100,-99999.0,1894,0.13586800573888091,1848,46,0.024287222808870117,0.24821453684660089,0.007463600673175317,0.000930562459319534,CLU_NPR_L1M
101,-2.0,1752,0.12568149210903873,1609,143,0.08162100456621005,-1.0244798021334574,0.217887144553846,0.026104016513353263,CLU_NPR_L1M
102,-99998.0,1595,0.11441893830703014,1581,14,0.00877742946708464,1.2817521887282801,0.10837277618446021,0.012689336523326532,CLU_NPR_L1M
103,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,CLU_NPR_L1M
104,"(-1.0, 7.50)",1402,0.10057388809182209,1377,25,0.01783166904422254,0.5637833549945208,0.024765539728710304,0.0030553343579112647,TRD_P_12
105,"[7.50, 97.50)",5328,0.38220946915351506,5265,63,0.011824324324324325,0.9806983793106099,0.2388672130794959,0.028716596878823115,TRD_P_12
106,"[97.50, inf)",1421,0.10193687230989958,1416,5,0.003518648838845883,2.201150042953631,0.20518698404262695,0.021470161568958722,TRD_P_12
107,-2.0,1752,0.12568149210903873,1609,143,0.08162100456621005,-1.0244798021334574,0.217887144553846,0.026104016513353263,TRD_P_12
108,-3.0,3595,0.2578909612625538,3408,187,0.05201668984700974,-0.5422310477713137,0.0984683176576589,0.012159935010145125,TRD_P_12
109,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,TRD_P_12
