,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Feature
2250,['6G' '3S' 'G'],3308,0.23730272596843616,3185,123,0.0371825876662636,-0.19098010623208728,0.009475303007151452,0.0011826161701607631,AFF_T_66
2251,['SF' 'XX' '4I'],1566,0.11233859397417503,1505,61,0.038952745849297574,-0.23932900585626848,0.007209573896366832,0.0008990520827899884,AFF_T_66
2252,['U' '1F' 'F'],1342,0.09626972740315638,1286,56,0.041728763040238454,-0.3110631048035182,0.010804652220209965,0.0013451626263641051,AFF_T_66
2253,['S'],827,0.05932568149210904,791,36,0.04353083434099154,-0.35522428955438956,0.008871060673665682,0.0011030889723693824,AFF_T_66
2254,['I' 'J' 'JF' 'JU' 'IU' '2I'],2026,0.14533715925394547,1926,100,0.049358341559723594,-0.4869729124959541,0.04355823813434644,0.0053916101269010155,AFF_T_66
2255,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,AFF_T_66
2256,"(-1.0, 3.50)",3187,0.228622668579627,3131,56,0.017571383746470035,0.5787527117253228,0.05894076488090389,0.0072664619469780395,PTBR_L3M_NPR_L3M
2257,"[3.50, 199.50)",6729,0.4827116212338594,6569,160,0.02377767870411651,0.2699397587927126,0.031053523052965142,0.003869947779466046,PTBR_L3M_NPR_L3M
2258,"[199.50, inf)",774,0.055523672883787664,754,20,0.025839793281653745,0.1846567755880315,0.0017377919509483336,0.00021691589696249455,PTBR_L3M_NPR_L3M
2259,-2.0,1754,0.12582496413199426,1611,143,0.0815279361459521,-1.0232375659488664,0.21747145505869006,0.026056817440606422,PTBR_L3M_NPR_L3M
2260,-99998.0,229,0.01642754662840746,222,7,0.03056768558951965,0.011763913951032823,2.2609005204239574e-06,2.826109354534396e-07,PTBR_L3M_NPR_L3M
2261,-99999.0,1222,0.08766140602582496,1177,45,0.036824877250409165,-0.18094170137597665,0.0031268991779903007,0.0003903300687526975,PTBR_L3M_NPR_L3M
2262,-1.0,42,0.0030129124820659973,42,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2263,-6.0,0,0.0,0,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2264,-32.0,0,0.0,0,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2265,-20.0,0,0.0,0,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2266,-38.0,0,0.0,0,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2267,-119.0,0,0.0,0,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2268,-3.0,0,0.0,0,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2269,-5.0,0,0.0,0,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2270,-1215.0,0,0.0,0,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2271,-10.0,0,0.0,0,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2272,-12.0,1,7.173601147776183e-05,1,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2273,-8.0,1,7.173601147776183e-05,1,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2274,-26.0,0,0.0,0,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2275,-60.0,0,0.0,0,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2276,-105.0,0,0.0,0,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2277,-25.0,0,0.0,0,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2278,-15.0,0,0.0,0,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2279,-34.0,0,0.0,0,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2280,-206.0,1,7.173601147776183e-05,1,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2281,-75.0,0,0.0,0,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2282,-154.0,0,0.0,0,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2283,-4.0,0,0.0,0,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2284,-7.0,0,0.0,0,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2285,-52.0,0,0.0,0,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2286,-63.0,0,0.0,0,0,0.0,0.0,0.0,0.0,PTBR_L3M_NPR_L3M
2287,"(-1.0, 1721.00)",1626,0.11664275466284074,1519,107,0.06580565805658056,-0.792024650732067,0.10756986124709496,0.013105446061553404,SP_EDI_03
2288,"[1721.00, 2004.00)",1121,0.08041606886657102,1065,56,0.049955396966993755,-0.49962493145755715,0.02552786777267114,0.003158202697459896,SP_EDI_03
2289,"[2004.00, 2398.50)",1435,0.10294117647058823,1381,54,0.037630662020905925,-0.20342421202091598,0.004691344563641163,0.0005854090409580176,SP_EDI_03
2290,"[2398.50, 2637.50)",823,0.05903873744619799,793,30,0.03645200486026731,-0.17037747889324084,0.001857789574071902,0.00023194322454394515,SP_EDI_03
2291,"[2637.50, 3180.50)",2171,0.15573888091822094,2104,67,0.030861354214647627,0.0018996356007012771,5.615012126153323e-07,7.018764103221959e-08,SP_EDI_03
2292,"[3180.50, 3542.00)",1570,0.11262553802008608,1531,39,0.024840764331210193,0.22511143066210382,0.005142583708887113,0.0006414690952795312,SP_EDI_03
2293,"[3542.00, 3786.50)",927,0.06649928263988522,904,23,0.02481121898597627,0.22633182559709342,0.0030677200300162234,0.00038264861876437543,SP_EDI_03
2294,"[3786.50, 4009.50)",757,0.05430416068866571,742,15,0.019815059445178335,0.45629572319923684,0.009182294900432448,0.001137932051158112,SP_EDI_03
2295,"[4009.50, 4639.50)",1478,0.106025824964132,1458,20,0.013531799729364006,0.8440853201486789,0.05193178857182252,0.006305376899286584,SP_EDI_03
2296,"[4639.50, inf)",1991,0.1428263988522238,1971,20,0.010045203415369162,1.1455607147327953,0.11398216756753861,0.013516489060227285,SP_EDI_03
2297,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,SP_EDI_03
2298,"(-1.0, 6.50)",1958,0.1404591104734577,1811,147,0.07507660878447395,-0.9338014477612564,0.1933048461051029,0.023321769394966226,ND_ECC_06
2299,"[6.50, 12.50)",741,0.05315638450502152,705,36,0.048582995951417005,-0.4703244545097749,0.014739616381885152,0.0018256560146019864,ND_ECC_06
2300,"[12.50, 31.50)",1632,0.11707317073170732,1555,77,0.04718137254901961,-0.4395779161062827,0.027933350615672977,0.0034638255343957033,ND_ECC_06
2301,"[31.50, 53.50)",1135,0.08142037302725968,1103,32,0.028193832599118944,0.09504979758784238,0.0007036851302575717,8.792754468018118e-05,ND_ECC_06
2302,"[53.50, 84.50)",1130,0.08106169296987087,1103,27,0.023893805309734513,0.2649488343832398,0.0050351563380716885,0.0006275600559401085,ND_ECC_06
2303,"[84.50, 163.50)",1809,0.12977044476327115,1771,38,0.021006080707573246,0.3967101591905142,0.017031058040210316,0.0021150311359675305,ND_ECC_06
2304,"[163.50, 211.50)",851,0.061047345767575326,837,14,0.01645123384253819,0.6457634220082831,0.019034584359500405,0.0023388244753843367,ND_ECC_06
2305,"[211.50, 399.50)",2119,0.15200860832137733,2085,34,0.01604530438886267,0.671160290750807,0.050642560261924076,0.006214119322032788,ND_ECC_06
2306,"[399.50, 646.50)",1436,0.103012912482066,1416,20,0.013927576601671309,0.8148556818337402,0.04760003687196669,0.0057906683188300445,ND_ECC_06
2307,"[646.50, inf)",1088,0.07804878048780488,1082,6,0.0055147058823529415,1.7498036713124385,0.11579087464292975,0.012870635553553776,ND_ECC_06
2308,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,ND_ECC_06
2309,"(-999994.0, -14.50)",4276,0.30674318507890963,4220,56,0.013096351730589336,0.8772353974289748,0.1600550562674052,0.019389085870721495,TRD_B_18
2310,"[-14.50, -1.50)",1074,0.07704447632711621,1058,16,0.0148975791433892,0.7465435713125297,0.030754003089389335,0.0037573950454996598,TRD_B_18
2311,"[-1.50, inf)",6286,0.4509325681492109,6124,162,0.025771555838370982,0.18737110267925683,0.014513267534268603,0.0018115092853636904,TRD_B_18
2312,-999999,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,TRD_B_18
2313,-999998,856,0.061406025824964135,774,82,0.09579439252336448,-1.2001506925404595,0.15957213670323447,0.01882949991306506,TRD_B_18
2314,-999997,398,0.02855093256814921,338,60,0.1507537688442211,-1.7163019856050152,0.19598586260930828,0.021874534411885617,TRD_B_18
2315,-999996,1009,0.0723816355810617,954,55,0.05450941526263627,-0.5916728326501177,0.03371980267907582,0.004154549858273052,TRD_B_18
2316,-999995,0,0.0,0,0,0.0,0.0,0.0,0.0,TRD_B_18
2317,-999994,0,0.0,0,0,0.0,0.0,0.0,0.0,TRD_B_18
2318,"(-1.0, 99.50)",2274,0.1631276901004304,2248,26,0.011433597185576077,1.0146963541261664,0.10764178386728915,0.01290615906568475,SPA_B2_19
2319,"[99.50, 9998.50)",3609,0.2588952654232425,3556,53,0.014685508451094486,0.7610963642157396,0.10675296055170266,0.01303109274642314,SPA_B2_19
2320,"[9998.50, inf)",8016,0.5750358680057389,7664,352,0.043912175648702596,-0.36434517481333417,0.09086034493909861,0.011295136952888439,SPA_B2_19
2321,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,SPA_B2_19
2322,"(-1.0, 22.50)",704,0.05050215208034433,683,21,0.029829545454545456,0.03696910298143363,6.783788830195278e-05,8.47925317995279e-06,SP_E1_28
2323,"[22.50, inf)",2667,0.1913199426111908,2445,222,0.08323959505061868,-1.0458802988292408,0.349418939392907,0.04178953297889367,SP_E1_28
2324,-2.0,10528,0.7552367288378766,10340,188,0.017857142857142856,0.5623298663665377,0.18513066217176255,0.022841171904775373,SP_E1_28
2325,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,SP_E1_28
2326,"(-1.0, 0.50)",1009,0.0723816355810617,949,60,0.05946481665014866,-0.6839390824781062,0.04716558374775872,0.005783409741567115,SP_I_64_01
2327,"[0.50, 11.50)",2963,0.21255380200860832,2847,116,0.03914951063111711,-0.24457242269426027,0.014281352051206824,0.0017807330588688521,SP_I_64_01
2328,"[11.50, 19.50)",1269,0.09103299856527977,1230,39,0.030732860520094562,0.006204483370883196,3.494190428538869e-06,4.3677310298048536e-07,SP_I_64_01
2329,"[19.50, inf)",8658,0.621090387374462,8442,216,0.02494802494802495,0.22069279979234535,0.027312197030247082,0.0034071130767329705,SP_I_64_01
2330,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,SP_I_64_01
2331,"(-1.0, 2.50)",3541,0.2540172166427547,3505,36,0.010166619598983339,1.1334235421466472,0.1994031770090228,0.023671425060160546,VM07_SP_VM1_18
2332,"[2.50, inf)",2901,0.20810616929698708,2884,17,0.005860048259220959,1.6887168354826896,0.29391128505259095,0.03291429360354084,VM07_SP_VM1_18
2333,-2.0,7457,0.53493543758967,7079,378,0.050690626257207994,-0.515009580711332,0.18180308886518343,0.022477521640913295,VM07_SP_VM1_18
2334,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,VM07_SP_VM1_18
2335,"(-1.0, 0.50)",10283,0.737661406025825,10091,192,0.018671593892832832,0.5169005255708137,0.1558495684214107,0.019267173168966062,NUM_DELINQ_ACCS
2336,"[0.50, inf)",1570,0.11262553802008608,1435,135,0.08598726114649681,-1.0813579691106416,0.2238406440238978,0.026691857397944233,NUM_DELINQ_ACCS
2337,-2.0,2046,0.1467718794835007,1942,104,0.05083088954056696,-0.5179205691560358,0.05051967598177035,0.006245312089753603,NUM_DELINQ_ACCS
2338,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,NUM_DELINQ_ACCS
2339,"(-999996.0, 64.50)",1169,0.08385939741750359,1162,7,0.005988023952095809,1.6669844694906102,0.11631455863501598,0.013059788503298187,TRD_C_09
2340,"[64.50, inf)",845,0.06061692969870875,831,14,0.016568047337278107,0.6385691463742562,0.018538905773288275,0.0022787758318167876,TRD_C_09
2341,-999997.0,10133,0.7269010043041607,9866,267,0.02634955097207145,0.16459780452750028,0.018243752419275835,0.0022778982235445097,TRD_C_09
2342,-999998.0,1752,0.12568149210903873,1609,143,0.08162100456621005,-1.0244798021334574,0.217887144553846,0.026104016513353263,TRD_C_09
2343,-999999.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,TRD_C_09
2344,-999996.0,0,0.0,0,0,0.0,0.0,0.0,0.0,TRD_C_09
2345,"(-1.0, inf)",10071,0.7224533715925394,9847,224,0.022242081223314468,0.33827274852682887,0.0707666190896139,0.008803891623837913,SP_F1_31
2346,-2.0,3828,0.2746054519368723,3621,207,0.054075235109717866,-0.5832166023656615,0.12377891479453272,0.015256743966766281,SP_F1_31
2347,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,SP_F1_31
2348,"(-1.0, 60.50)",4537,0.3254662840746054,4428,109,0.024024685915803395,0.25935209273345006,0.019420608114754944,0.0024207951774276315,TRD_B_17
2349,"[60.50, inf)",2074,0.14878048780487804,2007,67,0.03230472516875603,-0.04529958946056123,0.000311879275312732,3.8981576460511485e-05,TRD_B_17
2350,-999996.0,802,0.057532281205164994,760,42,0.05236907730673317,-0.5493545038689249,0.022627365619592586,0.0027933825985672796,TRD_B_17
2351,-100.0,533,0.03823529411764706,515,18,0.03377110694183865,-0.09120817609836207,0.00033205322236099335,4.149227165187283e-05,TRD_B_17
2352,-45.0,42,0.0030129124820659973,41,1,0.023809523809523808,0.2685687478383745,0.00019198048229139908,2.3925697549983946e-05,TRD_B_17
2353,-19.0,76,0.0054519368723099,76,0,0.0,0.0,0.0,0.0,TRD_B_17
2354,-999997.0,398,0.02855093256814921,338,60,0.1507537688442211,-1.7163019856050152,0.19598586260930828,0.021874534411885617,TRD_B_17
2355,-12.0,108,0.0077474892395982785,108,0,0.0,0.0,0.0,0.0,TRD_B_17
2356,-999998.0,584,0.04189383070301291,523,61,0.10445205479452055,-1.2962957189743216,0.1332804484256199,0.015583554928400193,TRD_B_17
2357,-24.0,65,0.004662840746054519,63,2,0.03076923076923077,0.004984226965653704,1.1556627288660744e-07,1.4445769157941712e-08,TRD_B_17
2358,-10.0,105,0.007532281205164993,103,2,0.01904761904761905,0.496578488803757,0.001481877294996646,0.00018335461147483956,TRD_B_17
2359,-96.0,17,0.0012195121951219512,17,0,0.0,0.0,0.0,0.0,TRD_B_17
2360,-52.0,34,0.0024390243902439024,34,0,0.0,0.0,0.0,0.0,TRD_B_17
2361,-2.0,140,0.010043041606886656,137,3,0.02142857142857143,0.3763653182940816,0.0011971542379509126,0.00014876726977026261,TRD_B_17
2362,-49.0,36,0.002582496413199426,35,1,0.027777777777777776,0.11034474262348004,2.9868085601195812e-05,3.7316177239877607e-06,TRD_B_17
2363,-999999.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,TRD_B_17
2364,-27.0,52,0.0037302725968436155,52,0,0.0,0.0,0.0,0.0,TRD_B_17
2365,-53.0,31,0.002223816355810617,30,1,0.03225806451612903,-0.04380593720377801,4.3562326741332904e-06,5.444855497101597e-07,TRD_B_17
2366,-39.0,41,0.0029411764705882353,40,1,0.024390243902439025,0.24387613524800278,0.00015627664578521917,1.9486314629212314e-05,TRD_B_17
2367,-94.0,17,0.0012195121951219512,17,0,0.0,0.0,0.0,0.0,TRD_B_17
2368,-21.0,64,0.004591104734576757,62,2,0.03125,-0.0110161143807872,5.600408109319187e-07,7.000474739166944e-08,TRD_B_17
2369,-3.0,147,0.01054519368723099,142,5,0.034013605442176874,-0.09861417369877312,0.00010743197991256118,1.3423558728764193e-05,TRD_B_17
2370,-50.0,26,0.0018651362984218078,25,1,0.038461538461538464,-0.2261274939977329,0.00010618212393762092,1.3244559058161361e-05,TRD_B_17
2371,-43.0,39,0.0027977044476327115,39,0,0.0,0.0,0.0,0.0,TRD_B_17
2372,-4.0,135,0.009684361549497847,133,2,0.014814814814814815,0.7521986287958748,0.003915131503060689,0.0004781707978479589,TRD_B_17
2373,-8.0,142,0.010186513629842181,138,4,0.028169014084507043,0.09595600517138081,8.968715024265039e-05,1.120659472111357e-05,TRD_B_17
2374,-6.0,164,0.011764705882352941,163,1,0.006097560975609756,1.6487468819408289,0.016068430630993,0.0018080848743100115,TRD_B_17
2375,-32.0,43,0.003084648493543759,43,0,0.0,0.0,0.0,0.0,TRD_B_17
2376,-40.0,38,0.00272596843615495,38,0,0.0,0.0,0.0,0.0,TRD_B_17
2377,-80.0,13,0.0009325681492109039,13,0,0.0,0.0,0.0,0.0,TRD_B_17
2378,-1.0,140,0.010043041606886656,138,2,0.014285714285714285,0.7891031857313262,0.004399282391070528,0.0005360726980588736,TRD_B_17
2379,-84.0,19,0.001362984218077475,19,0,0.0,0.0,0.0,0.0,TRD_B_17
2380,-75.0,25,0.001793400286944046,25,0,0.0,0.0,0.0,0.0,TRD_B_17
2381,-7.0,135,0.009684361549497847,134,1,0.007407407407407408,1.4528364810849776,0.01104028956301279,0.0012701844868941619,TRD_B_17
2382,-48.0,26,0.0018651362984218078,26,0,0.0,0.0,0.0,0.0,TRD_B_17
2383,-14.0,106,0.007604017216642754,105,1,0.009433962264150943,1.2089570312915896,0.0065917299295327235,0.0007771898744347325,TRD_B_17
2384,-35.0,44,0.0031563845050215206,43,1,0.022727272727272728,0.3161967968276289,0.000272839110484221,3.396351939739388e-05,TRD_B_17
2385,-99.0,30,0.002152080344332855,30,0,0.0,0.0,0.0,0.0,TRD_B_17
2386,-20.0,62,0.004447632711621234,62,0,0.0,0.0,0.0,0.0,TRD_B_17
2387,-28.0,58,0.004160688665710187,57,1,0.017241379310344827,0.5980479489686168,0.0011358268191910834,0.00013989963961401466,TRD_B_17
2388,-33.0,40,0.0028694404591104736,40,0,0.0,0.0,0.0,0.0,TRD_B_17
2389,-15.0,102,0.007317073170731708,101,1,0.00980392156862745,1.1701171979753262,0.006033488805454821,0.0007139059677843179,TRD_B_17
2390,-5.0,310,0.02223816355810617,306,4,0.012903225806451613,0.8922874219665564,0.011930617330149145,0.0014437430316708005,TRD_B_17
2391,-9.0,135,0.009684361549497847,131,4,0.02962962962962963,0.043899643215327355,1.828404416771372e-05,2.285322014583004e-06,TRD_B_17
2392,-37.0,42,0.0030129124820659973,41,1,0.023809523809523808,0.2685687478383745,0.00019198048229139908,2.3925697549983946e-05,TRD_B_17
2393,-44.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,TRD_B_17
2394,-81.0,15,0.0010760401721664275,15,0,0.0,0.0,0.0,0.0,TRD_B_17
2395,-11.0,141,0.010114777618364419,139,2,0.014184397163120567,0.7963234337048126,0.004498483190116103,0.0005479086096099408,TRD_B_17
2396,-62.0,23,0.0016499282639885222,22,1,0.043478260869565216,-0.3539608655076174,0.0002448140880899674,3.044300332628061e-05,TRD_B_17
2397,-83.0,18,0.001291248206599713,16,2,0.1111111111111111,-1.3655617771860977,0.004719348239016844,0.0005479712890198413,TRD_B_17
2398,-57.0,28,0.0020086083213773313,28,0,0.0,0.0,0.0,0.0,TRD_B_17
2399,-71.0,14,0.0010043041606886656,14,0,0.0,0.0,0.0,0.0,TRD_B_17
2400,-17.0,78,0.005595408895265423,78,0,0.0,0.0,0.0,0.0,TRD_B_17
2401,-16.0,68,0.004878048780487805,68,0,0.0,0.0,0.0,0.0,TRD_B_17
2402,-58.0,25,0.001793400286944046,25,0,0.0,0.0,0.0,0.0,TRD_B_17
2403,-97.0,26,0.0018651362984218078,26,0,0.0,0.0,0.0,0.0,TRD_B_17
2404,-54.0,31,0.002223816355810617,31,0,0.0,0.0,0.0,0.0,TRD_B_17
2405,-22.0,59,0.004232424677187948,59,0,0.0,0.0,0.0,0.0,TRD_B_17
2406,-92.0,18,0.001291248206599713,17,1,0.05555555555555555,-0.6117899748097173,0.0006495773676488035,7.995411035726537e-05,TRD_B_17
2407,-98.0,22,0.0015781922525107603,22,0,0.0,0.0,0.0,0.0,TRD_B_17
2408,-30.0,41,0.0029411764705882353,40,1,0.024390243902439025,0.24387613524800278,0.00015627664578521917,1.9486314629212314e-05,TRD_B_17
2409,-61.0,26,0.0018651362984218078,25,1,0.038461538461538464,-0.2261274939977329,0.00010618212393762092,1.3244559058161361e-05,TRD_B_17
2410,-42.0,32,0.0022955523672883787,32,0,0.0,0.0,0.0,0.0,TRD_B_17
2411,-29.0,56,0.0040172166427546625,54,2,0.03571428571428571,-0.14916645286160435,9.59194170482283e-05,1.1978823506505229e-05,TRD_B_17
2412,-73.0,27,0.0019368723098995696,26,1,0.037037037037037035,-0.18690678084445134,7.392962847055673e-05,9.227775612984644e-06,TRD_B_17
2413,-72.0,22,0.0015781922525107603,22,0,0.0,0.0,0.0,0.0,TRD_B_17
2414,-91.0,21,0.0015064562410329987,20,1,0.047619047619047616,-0.4492710453119426,0.0003772489115755066,4.676348196013563e-05,TRD_B_17
2415,-55.0,32,0.0022955523672883787,32,0,0.0,0.0,0.0,0.0,TRD_B_17
2416,-25.0,54,0.0038737446197991392,53,1,0.018518518518518517,0.5252885946861885,0.0008421031579704585,0.00010406914041111902,TRD_B_17
2417,-18.0,92,0.006599713055954089,90,2,0.021739130434782608,0.36165917090438615,0.000731222024517201,9.090785321364496e-05,TRD_B_17
2418,-63.0,28,0.0020086083213773313,28,0,0.0,0.0,0.0,0.0,TRD_B_17
2419,-78.0,22,0.0015781922525107603,22,0,0.0,0.0,0.0,0.0,TRD_B_17
2420,-56.0,30,0.002152080344332855,29,1,0.03333333333333333,-0.07770748887945933,1.3479810188971555e-05,1.6845524577686254e-06,TRD_B_17
2421,-23.0,69,0.0049497847919655665,69,0,0.0,0.0,0.0,0.0,TRD_B_17
2422,-34.0,33,0.002367288378766141,32,1,0.030303030303030304,0.02073258393379307,1.0077188814509443e-06,1.2596260419901422e-07,TRD_B_17
2423,-46.0,40,0.0028694404591104736,40,0,0.0,0.0,0.0,0.0,TRD_B_17
2424,-36.0,60,0.00430416068866571,59,1,0.016666666666666666,0.6325341250397862,0.0012949701093787,0.00015922559202615947,TRD_B_17
2425,-38.0,45,0.0032281205164992827,45,0,0.0,0.0,0.0,0.0,TRD_B_17
2426,-26.0,63,0.004519368723098996,62,1,0.015873015873015872,0.6821310661791582,0.0015479922858723588,0.00018983271154471873,TRD_B_17
2427,-47.0,23,0.0016499282639885222,22,1,0.043478260869565216,-0.3539608655076174,0.0002448140880899674,3.044300332628061e-05,TRD_B_17
2428,-90.0,24,0.001721664275466284,24,0,0.0,0.0,0.0,0.0,TRD_B_17
2429,-51.0,32,0.0022955523672883787,32,0,0.0,0.0,0.0,0.0,TRD_B_17
2430,-60.0,29,0.0020803443328550933,27,2,0.06896551724137931,-0.8423136334215497,0.0022251430206891125,0.00027020141331513556,TRD_B_17
2431,-82.0,21,0.0015064562410329987,21,0,0.0,0.0,0.0,0.0,TRD_B_17
2432,-76.0,25,0.001793400286944046,25,0,0.0,0.0,0.0,0.0,TRD_B_17
2433,-88.0,16,0.0011477761836441894,15,1,0.0625,-0.7369531177637234,0.0008915767526517369,0.00010899169216205024,TRD_B_17
2434,-41.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,TRD_B_17
2435,-70.0,12,0.000860832137733142,12,0,0.0,0.0,0.0,0.0,TRD_B_17
2436,-85.0,18,0.001291248206599713,18,0,0.0,0.0,0.0,0.0,TRD_B_17
2437,-67.0,27,0.0019368723098995696,25,2,0.07407407407407407,-0.9192746745576779,0.0025645493944726656,0.0003097374654199796,TRD_B_17
2438,-89.0,16,0.0011477761836441894,16,0,0.0,0.0,0.0,0.0,TRD_B_17
2439,-13.0,118,0.008464849354375897,114,4,0.03389830508474576,-0.0950992315913286,8.006631537739014e-05,1.0004519726461095e-05,TRD_B_17
2440,-59.0,28,0.0020086083213773313,27,1,0.03571428571428571,-0.14916645286160435,4.795970852411415e-05,5.989411753252614e-06,TRD_B_17
2441,-79.0,23,0.0016499282639885222,23,0,0.0,0.0,0.0,0.0,TRD_B_17
2442,-77.0,15,0.0010760401721664275,15,0,0.0,0.0,0.0,0.0,TRD_B_17
2443,-64.0,18,0.001291248206599713,18,0,0.0,0.0,0.0,0.0,TRD_B_17
2444,-74.0,25,0.001793400286944046,24,1,0.04,-0.2669494885179877,0.0001451116684708143,1.8085290609870248e-05,TRD_B_17
2445,-31.0,44,0.0031563845050215206,44,0,0.0,0.0,0.0,0.0,TRD_B_17
2446,-66.0,24,0.001721664275466284,24,0,0.0,0.0,0.0,0.0,TRD_B_17
2447,-87.0,25,0.001793400286944046,25,0,0.0,0.0,0.0,0.0,TRD_B_17
2448,-95.0,23,0.0016499282639885222,23,0,0.0,0.0,0.0,0.0,TRD_B_17
2449,-65.0,19,0.001362984218077475,19,0,0.0,0.0,0.0,0.0,TRD_B_17
2450,-68.0,20,0.0014347202295552368,20,0,0.0,0.0,0.0,0.0,TRD_B_17
2451,-93.0,20,0.0014347202295552368,19,1,0.05,-0.5005643396994932,0.0004573735731049632,5.658219200050887e-05,TRD_B_17
2452,-69.0,19,0.001362984218077475,19,0,0.0,0.0,0.0,0.0,TRD_B_17
2453,-86.0,17,0.0012195121951219512,17,0,0.0,0.0,0.0,0.0,TRD_B_17
2454,"(-999996.0, inf)",1001,0.0718077474892396,990,11,0.01098901098901099,1.0548063514643315,0.05038012006519456,0.006020900537882649,TRD_C_10
2455,-999997.0,11146,0.7995695839311334,10869,277,0.024851964830432442,0.22464915450991496,0.036366949315168616,0.0045363336596461815,TRD_C_10
2456,-999998.0,1752,0.12568149210903873,1609,143,0.08162100456621005,-1.0244798021334574,0.217887144553846,0.026104016513353263,TRD_C_10
2457,-999999.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,TRD_C_10
2458,-999996.0,0,0.0,0,0,0.0,0.0,0.0,0.0,TRD_C_10
2459,"(-999994.0, -14.50)",4660,0.33428981348637016,4584,76,0.01630901287553648,0.6545905992423107,0.10669514480128106,0.013103767380556436,TRD_B_08
2460,"[-14.50, 743.50)",5694,0.4084648493543759,5544,150,0.026343519494204427,0.16483292790755,0.01027984330532624,0.0012835276872545567,TRD_B_08
2461,"[743.50, inf)",1230,0.08823529411764706,1182,48,0.03902439024390244,-0.24124113180778073,0.005758832413685789,0.000718113550682322,TRD_B_08
2462,-999999,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,TRD_B_08
2463,-999998,568,0.040746054519368725,512,56,0.09859154929577464,-1.232030384561575,0.11338343055654704,0.013339498267218216,TRD_B_08
2464,-999997,18,0.001291248206599713,18,0,0.0,0.0,0.0,0.0,TRD_B_08
2465,-999996,1729,0.12403156384505022,1628,101,0.05841526894158473,-0.6650162891447073,0.0756964739815207,0.009291468806165808,TRD_B_08
2466,-999995,0,0.0,0,0,0.0,0.0,0.0,0.0,TRD_B_08
2467,-999994,0,0.0,0,0,0.0,0.0,0.0,0.0,TRD_B_08
2468,"(nan, 27.50)",836,0.0599713055954089,784,52,0.06220095693779904,-0.731838017096953,0.04582350184777279,0.005603440230104669,EA5_S_01
2469,"[27.50, 33.50)",1903,0.13651362984218077,1795,108,0.05675249605885444,-0.6343742450677738,0.07466944323781778,0.009180256587584004,EA5_S_01
2470,"[33.50, 38.50)",2102,0.15078909612625538,2019,83,0.03948620361560418,-0.2534863083496939,0.010930199769142042,0.001362628748767242,EA5_S_01
2471,"[38.50, 41.50)",1317,0.09447632711621234,1273,44,0.033409263477600606,-0.08006135422678806,0.0006288573644645422,7.858618320715112e-05,EA5_S_01
