,Feature,IV
0,NPD_NUM_EBAD_SP_L18MOptBin,0.004141484954490879
0,VM03_SP_VM2_27OptBin,0.074190588989769
0,VM02_SP_VM1_18OptBin,0.10390200604133143
0,SPA_B3_22OptBin,0.10303493580996353
0,VM04_SP_VM1_21OptBin,0.08852189016622984
0,VM04_SP_VM1_20OptBin,0.09411322959446619
0,NPD_BAL_NPD_SP_L18MOptBin,0.004141484954490879
0,SP_EDI_30OptBin,0.06074559810742694
0,VM03_SP_VM2_28OptBin,0.07385271158197426
0,TRD_A_17OptBin,0.042391501005547075
0,VM10_SP_VM2_15OptBin,0.07833276181370835
0,TRD_B_30OptBin,0.0006050604837148718
0,AFF_T_43OptBin,0.0709636479251896
0,TRD_B_31OptBin,0.0005822079730306852
0,VM05_SP_VM1_19OptBin,0.021416570926340618
0,AGE_MOST_RECENTOptBin,0.0651821873536211
0,AFF_T_34_01OptBin,0.06709969099022894
0,VM08_SP_VM2_14OptBin,0.07222080085294558
0,TRD_C_05OptBin,0.058019305030694454
0,ND_HAC_02OptBin,0.0008269169659964198
0,NDMAICHOptBin,0.05776399929708878
0,VM09_SP_VM1_18OptBin,0.08188893416676213
0,TRD_B_29OptBin,0.009413056829149556
0,SP_J_61_01OptBin,0.05287461969384061
0,SP_J_58_01OptBin,0.05305077570683834
0,NPD_BAL_EBAD_SP_L18MOptBin,0.004141484954490879
0,E1_B_08OptBin,0.005442287447448915
0,VM08_SP_VM2_27OptBin,0.04868101254021368
0,SP_EDI_22OptBin,0.054172811743573496
0,VM05_SP_VM1_16OptBin,0.0465130390151108
0,SP_EDI_31OptBin,0.027582839330451768
0,VM10_SP_VM2_22OptBin,0.010489581646982651
0,VM08_SP_VM2_18OptBin,0.04689207884259978
0,TRD_A_21OptBin,0.03942802368838903
0,TRD_A_18OptBin,0.005690416370956588
0,VM08_SP_VM2_23OptBin,0.052586705490270176
0,VM10_SP_VM2_27OptBin,0.0447880824633535
0,VM08_SP_VM2_28OptBin,0.046576623712729005
0,NUM_INACTIVE_ACCS_L36MOptBin,0.03452576296285503
0,SPA_F3_36OptBin,0.04616031988834959
0,E1_E_02OptBin,0.04403774101115695
0,VM10_SP_VM2_23OptBin,0.01168537937883816
0,SP_EDI_29OptBin,0.03760143349207681
0,ND_HAC_03OptBin,0.0008269169659964198
0,E1_A_08OptBin,0.043047346360917144
0,VM03_SP_VM2_24OptBin,0.018580909050375276
0,TRD_STL_19OptBin,0.024597778399182046
0,VM07_SP_VM1_26OptBin,0.04114865152090918
0,VM04_SP_VM1_03OptBin,0.03144216671778539
0,EA4_P_01OptBin,0.0
0,TRD_A_12OptBin,0.27318480988819527
0,SP_I_66_01OptBin,0.0392068209182395
0,TRD_STL_20OptBin,0.024597778399182046
0,VM08_SP_VM2_07OptBin,0.03724017243158016
0,VM01_SP_VM2_28OptBin,0.22858144882892487
0,VM01_SP_VM2_29OptBin,0.20775240443355647
0,VM04_SP_VM1_04OptBin,0.020363888288416367
0,TRD_P_23OptBin,0.019319196225722517
0,AFF_S_22_01OptBin,0.034531573984107396
0,VM08_SP_VM2_17OptBin,0.03724017243158016
0,AFF_C_06OptBin,0.03349830431915772
0,GEN11_SP_J_58OptBin,0.031108187629908517
0,E2_K_02OptBin,0.02936942512620496
0,SP_B2_19OptBin,0.03934500840146776
0,SP_EDI_12OptBin,0.08145902003764131
0,VM03_SP_VM2_16OptBin,0.018580909050375276
0,SP_EDI_19OptBin,0.022539968930921986
0,VM10_SP_VM2_28OptBin,0.04098232561803139
0,VM10_SP_VM2_29OptBin,0.03945569561185764
0,AFF_V_19OptBin,0.02279241457436854
0,SPA_A_01OptBin,0.05235884341609017
0,AFF_S_03_01OptBin,0.030175067477558968
0,VM04_SP_VM1_15OptBin,0.025800024542023972
0,E1_B_13OptBin,0.0008269169659964198
0,VM08_SP_VM2_03OptBin,0.025626233861770584
0,VM10_SP_VM2_16OptBin,0.024564403616597355
0,VM04_SP_VM1_11OptBin,0.026118712797666022
0,TRD_P_36OptBin,0.0
0,EA5_U_01OptBin,0.011976138275518838
0,VM02_SP_VM1_05OptBin,0.027866139306422802
0,GEN11_SP_L_81OptBin,0.024113330748284183
0,HC_C_01OptBin,0.011564114183638292
0,AFF_C_03_01OptBin,0.027067758957662492
0,VM02_SP_VM1_11OptBin,0.09986579567932623
0,VM01_SP_VM2_34OptBin,0.024724222771253607
0,TRD_A_16OptBin,0.004481021472083255
0,E2_J_02OptBin,0.024488161643145382
0,VM01_SP_VM2_32OptBin,0.013956777775208842
0,VM03_SP_VM2_07OptBin,0.024570000154800944
0,VM08_SP_VM2_34OptBin,0.022023722193836904
0,E2_H_01OptBin,0.024729715623392913
0,VM01_SP_VM2_02OptBin,0.004167943177914906
0,ND_ECC_05OptBin,0.026566655716574104
0,AFF_M_01_01OptBin,0.018055518442079938
0,TRD_O_08OptBin,0.024061755101412195
0,VM05_SP_VM1_20OptBin,0.021416570926340618
0,VM05_SP_VM1_21OptBin,0.021416570926340618
0,NPD_NUM_NPD_SP_L12MOptBin,0.004141484954490879
0,VM04_SP_VM1_26OptBin,0.021502641602756906
0,NPD_NUM_EBAD_SP_L12MOptBin,0.004141484954490879
0,PD_B_06OptBin,0.021258359693196244
0,E2_H_02OptBin,0.024387129812742197
0,VM04_SP_VM1_22OptBin,0.024823160683075905
0,VM04_SP_VM1_16OptBin,0.022937617011566977
0,TRD_A_23OptBin,0.001377252916309953
0,AFF_T_82_01OptBin,0.015918981027667745
0,VM04_SP_VM1_18OptBin,0.024352914422855344
0,E1_B_12OptBin,0.0008269169659964198
0,VM09_SP_VM1_20OptBin,0.08065897733505349
0,VM09_SP_VM1_21OptBin,0.08065897733505349
0,TRD_RAG_13_AIQ2OptBin,0.017499052995165944
0,VM08_SP_VM2_19OptBin,0.0010336249171204587
0,ND_PSD_05OptBin,0.017787481902521527
0,SP_B1_15OptBin,0.01582283596988732
0,TRD_A_19OptBin,0.0
0,EA2_Q_02OptBin,0.019076389651103847
0,NPD_BAL_NPD_SP_L12MOptBin,0.004141484954490879
0,ND_HAC_10OptBin,0.0008269169659964198
0,VM04_SP_VM1_01OptBin,0.014864802984990582
0,GEN11_SP_L_78OptBin,0.021304121436246253
0,SP_EDI_32OptBin,0.0013814378602924802
0,VM05_SP_VM1_04OptBin,0.012336618080147244
0,AFF_V_09OptBin,0.014088660437924908
0,ND_HAC_05OptBin,0.0008269169659964198
0,VM04_SP_VM1_08OptBin,0.012726259460984376
0,NDMAUNSECARROptBin,0.0
0,ND_ECC_01OptBin,0.0035338812331750452
0,E2_K_01OptBin,0.014887142567572141
0,NO_CA_L3MOptBin,0.21135317753082636
0,ND_ECC_10OptBin,0.0008269169659964198
0,VM04_SP_VM1_07OptBin,0.010174056060867786
0,HC_B_01OptBin,0.018129857180564167
0,E2_H_11OptBin,0.016022951511810837
0,SPA_H_41OptBin,0.015793068172885626
0,E2_G_09OptBin,0.012046310969414989
0,ND_PSD_11OptBin,0.013348464265124283
0,TRD_P_08OptBin,0.030424076729153374
0,SP_J_60_01OptBin,0.015587247130349613
0,SP_J_56_01OptBin,0.015457536438596185
0,PD_F_21OptBin,0.01717502876858354
0,VM04_SP_VM1_06OptBin,0.006364163846160297
0,E1_B_04OptBin,0.014020748962890591
0,SPA_E1_26OptBin,0.00805381535187892
0,SP_C_24OptBin,0.0
0,VM10_SP_VM2_18OptBin,0.001237153434265188
0,VM10_SP_VM2_30OptBin,0.013839545979104586
0,NPD_BAL_EBAD_SP_L12MOptBin,0.004141484954490879
0,AFF_V_17_01OptBin,0.008826303809815014
0,AFF_T_56_01OptBin,0.01376893476492205
0,SP_EDI_38OptBin,0.011605002732739553
0,TRD_B_49OptBin,0.006555040830452606
0,VM07_SP_VM1_10OptBin,0.4628890019494818
0,E2_G_01OptBin,0.0008269169659964198
0,AFF_T_67_01OptBin,0.009928015746129585
0,AFF_C_19_01OptBin,0.010203935802482019
0,VM06_SP_VM1_05OptBin,0.0
0,NPD_NUM_NPD_SPA_L18MOptBin,0.004141484954490879
0,NPD_NUM_EBAD_SPA_L18MOptBin,0.004141484954490879
0,AFF_V_13_01OptBin,0.005203014786774112
0,VM10_SP_VM2_07OptBin,0.007860644974364003
0,TRD_RAG_13OptBin,0.0013709974193426503
0,ND_LNK_01OptBin,0.009310295149420418
0,ND_ECC_03OptBin,0.007780847568507849
0,VM01_SP_VM2_12OptBin,0.1615703167222754
0,EA4_Q_06OptBin,0.010045168524847619
0,VM03_SP_VM2_26OptBin,0.018580909050375276
